work_item_id,project_id,parent_work_item_id,work_item_type,title,state,blocked_flag,created_date,closed_date,story_points
WI-000001,PJ-100-01-01,,Epic,Epic 1 for PJ-100-01-01,In Progress,False,2026-01-15,,
WI-000002,PJ-100-01-01,,Epic,Epic 2 for PJ-100-01-01,In Progress,False,2026-01-15,,
WI-000003,PJ-100-01-01,,Epic,Epic 3 for PJ-100-01-01,Done,False,2026-01-15,,
WI-000004,PJ-100-01-01,WI-000001,Story,Story 1 for PJ-100-01-01,Done,False,2026-03-10,2026-04-24,3
WI-000005,PJ-100-01-01,WI-000003,Story,Story 2 for PJ-100-01-01,Blocked,True,2026-01-12,,5
WI-000006,PJ-100-01-01,WI-000003,Story,Story 3 for PJ-100-01-01,Blocked,True,2026-03-25,,8
WI-000007,PJ-100-01-01,WI-000001,Story,Story 4 for PJ-100-01-01,Ready,False,2026-02-03,,13
WI-000008,PJ-100-01-01,WI-000001,Story,Story 5 for PJ-100-01-01,In Progress,False,2026-03-14,,13
WI-000009,PJ-100-01-01,WI-000002,Story,Story 6 for PJ-100-01-01,Done,False,2026-01-19,2026-03-01,1
WI-000010,PJ-100-01-01,WI-000001,Story,Story 7 for PJ-100-01-01,In Progress,False,2026-04-13,,2
WI-000011,PJ-100-01-01,WI-000001,Story,Story 8 for PJ-100-01-01,Review,False,2026-07-17,,1
WI-000012,PJ-100-01-01,WI-000001,Story,Story 9 for PJ-100-01-01,Ready,False,2026-08-07,,5
WI-000013,PJ-100-01-01,WI-000002,Story,Story 10 for PJ-100-01-01,Review,False,2026-07-19,,13
WI-000014,PJ-100-01-01,WI-000001,Story,Story 11 for PJ-100-01-01,Blocked,True,2026-07-12,,1
WI-000015,PJ-100-01-01,WI-000002,Story,Story 12 for PJ-100-01-01,Review,False,2026-03-18,,13
WI-000016,PJ-100-01-01,WI-000003,Story,Story 13 for PJ-100-01-01,In Progress,False,2026-07-26,,8
WI-000017,PJ-100-01-01,WI-000003,Story,Story 14 for PJ-100-01-01,In Progress,False,2026-02-03,,1
WI-000018,PJ-100-01-01,WI-000003,Story,Story 15 for PJ-100-01-01,In Progress,False,2026-08-02,,2
WI-000019,PJ-100-01-02,,Epic,Epic 1 for PJ-100-01-02,In Progress,False,2026-01-15,,
WI-000020,PJ-100-01-02,,Epic,Epic 2 for PJ-100-01-02,In Progress,False,2026-01-15,,
WI-000021,PJ-100-01-02,,Epic,Epic 3 for PJ-100-01-02,In Progress,False,2026-01-15,,
WI-000022,PJ-100-01-02,WI-000021,Story,Story 1 for PJ-100-01-02,In Progress,False,2026-05-02,,8
