project_id,fiscal_year,fiscal_month,budget_amount,forecast_amount,actual_amount,capex_opex
PJ-100-01-01,2027,1,209706.22,227466.99,245630.41,CAPEX
PJ-100-01-01,2027,2,238958.47,257759.49,217391.47,OPEX
PJ-100-01-01,2027,3,200198.18,208378.9,189375.43,OPEX
PJ-100-01-01,2027,4,258685.23,300573.1,278838.23,CAPEX
PJ-100-01-01,2027,5,251793.96,249382.93,242807.28,CAPEX
PJ-100-01-01,2027,6,203004.94,235917.93,221475.66,CAPEX
PJ-100-01-01,2027,7,233331.92,247514.79,195327.21,OPEX
PJ-100-01-01,2027,8,252351.64,299722.14,257050.68,CAPEX
PJ-100-01-01,2027,9,208989.52,227782.29,177115.53,OPEX
PJ-100-01-01,2027,10,248089.28,308090.73,288510.69,CAPEX
PJ-100-01-01,2027,11,201342.94,212588.84,200350.37,OPEX
PJ-100-01-01,2027,12,228486.81,252349.91,274437.35,CAPEX
PJ-100-01-02,2027,1,274431.05,342546.29,334824.38,OPEX
PJ-100-01-02,2027,2,325729.9,341055.45,285383.93,CAPEX
PJ-100-01-02,2027,3,276731.99,303761.57,252286.18,CAPEX
PJ-100-01-02,2027,4,247858.74,283030.18,218104.71,CAPEX
PJ-100-01-02,2027,5,326236.51,390852.58,302832.61,CAPEX
PJ-100-01-02,2027,6,271530.68,287714.82,270087.08,OPEX
PJ-100-01-02,2027,7,268434.76,283198.67,252746.6,CAPEX
PJ-100-01-02,2027,8,255689.28,265786.18,238743.11,OPEX
PJ-100-01-02,2027,9,322608.04,290361.21,284179.26,CAPEX
PJ-100-01-02,2027,10,252520.23,290256.61,299024.5,CAPEX
PJ-100-01-02,2027,11,268928.56,255583.6,231818.09,OPEX
PJ-100-01-02,2027,12,263242.1,276712.83,292228.14,CAPEX
PJ-100-01-03,2027,1,214714.81,256950.87,201518.36,CAPEX
PJ-100-01-03,2027,2,224206.74,274150.09,287047.07,CAPEX
PJ-100-01-03,2027,3,191033.73,202133.29,212771.09,CAPEX
PJ-100-01-03,2027,4,176777.2,155704.92,138055.39,OPEX
PJ-100-01-03,2027,5,183889.17,209217.85,210405.55,OPEX
PJ-100-01-03,2027,6,176196.96,174396.56,189926.28,CAPEX
PJ-100-01-03,2027,7,211174.12,190299.8,181633.96,CAPEX
PJ-100-01-03,2027,8,170423.21,181994.36,190724.61,CAPEX
PJ-100-01-03,2027,9,202155.89,228401.51,190103.46,CAPEX
PJ-100-01-03,2027,10,222591.07,242797.87,231294.51,CAPEX
PJ-100-01-03,2027,11,203591.49,210740.24,201106.31,OPEX
PJ-100-01-03,2027,12,222184.81,212314.45,212456.09,CAPEX
PJ-100-01-04,2027,1,130300.45,147047.36,125725.35,OPEX
PJ-100-01-04,2027,2,151817.29,186161.65,140228.2,CAPEX
PJ-100-01-04,2027,3,117286.01,112461.7,94784.98,OPEX
PJ-100-01-04,2027,4,149874.18,180647.85,158849.88,CAPEX
PJ-100-01-04,2027,5,132011.31,142702.99,122136.78,CAPEX
PJ-100-01-04,2027,6,141279.23,153316.62,164986.26,CAPEX
PJ-100-01-04,2027,7,152217.24,141514.5,111853.06,CAPEX
PJ-100-01-04,2027,8,144287.59,135271.89,114793.71,CAPEX
PJ-100-01-04,2027,9,143286.69,136886.22,133051.11,OPEX
PJ-100-01-04,2027,10,134723.93,131074.92,139969.09,CAPEX
PJ-100-01-04,2027,11,118054.22,122389.53,103644.11,CAPEX
PJ-100-01-04,2027,12,127789.39,118640.09,129665.23,CAPEX
PJ-100-01-05,2027,1,295497.77,337191.61,319090.28,CAPEX
PJ-100-01-05,2027,2,262422.52,316678.21,337697.73,CAPEX
PJ-100-01-05,2027,3,330933.98,362547.62,290702.58,CAPEX
PJ-100-01-05,2027,4,259407.7,263278.34,283440.4,CAPEX
PJ-100-01-05,2027,5,336738.03,322503.55,270043.64,CAPEX
PJ-100-01-05,2027,6,287543.93,312605.37,330157.99,CAPEX
PJ-100-01-05,2027,7,339159.56,328168.35,264791.04,CAPEX
PJ-100-01-05,2027,8,335158.36,298013.07,300336.85,OPEX
PJ-100-01-05,2027,9,326223.53,336771.6,331540.69,CAPEX
PJ-100-01-05,2027,10,279705.94,327627.56,258115.95,CAPEX
PJ-100-01-05,2027,11,333099.18,320541.5,332018.59,OPEX
PJ-100-01-05,2027,12,287181.21,339907.24,358589.59,CAPEX
PJ-100-02-01,2027,1,52335.43,53771.12,45571.62,CAPEX
PJ-100-02-01,2027,2,56932.56,55980.43,54553.97,OPEX
PJ-100-02-01,2027,3,52627.34,62739.93,54326.66,CAPEX
PJ-100-02-01,2027,4,44175.21,54735.21,44472.29,OPEX
PJ-100-02-01,2027,5,43020.37,47353.88,41244.78,OPEX
PJ-100-02-01,2027,6,48985.01,60945.55,48175.99,CAPEX
PJ-100-02-01,2027,7,46263.32,52844.31,39664.51,CAPEX
PJ-100-02-01,2027,8,47903.77,43395.56,42635.41,OPEX
PJ-100-02-01,2027,9,51782.95,58279.3,46251.55,OPEX
