project_id,project_name,program_id,health,phase,owner
PJ-100-01-01,Network Modernization Project 1.1,PG-100-01,Red,Plan,S. Jones
PJ-100-01-02,Network Modernization Project 1.2,PG-100-01,Green,Validate,R. Patel
PJ-100-01-03,Network Modernization Project 1.3,PG-100-01,Green,Build,A. Smith
PJ-100-01-04,Network Modernization Project 1.4,PG-100-01,Green,Plan,M. Chen
PJ-100-01-05,Network Modernization Project 1.5,PG-100-01,Red,Plan,L. Brown
PJ-100-02-01,Network Modernization Project 2.1,PG-100-02,Red,Deploy,K. Davis
PJ-100-02-02,Network Modernization Project 2.2,PG-100-02,Green,Plan,R. Patel
PJ-100-02-03,Network Modernization Project 2.3,PG-100-02,Green,Build,M. Chen
PJ-100-02-04,Network Modernization Project 2.4,PG-100-02,Green,Plan,K. Davis
PJ-100-02-05,Network Modernization Project 2.5,PG-100-02,Red,Build,S. Jones
PJ-100-03-01,Network Modernization Project 3.1,PG-100-03,Red,Deploy,S. Jones
PJ-100-03-02,Network Modernization Project 3.2,PG-100-03,Green,Deploy,K. Davis
PJ-100-03-03,Network Modernization Project 3.3,PG-100-03,Red,Validate,S. Jones
PJ-100-03-04,Network Modernization Project 3.4,PG-100-03,Green,Build,M. Chen
PJ-100-03-05,Network Modernization Project 3.5,PG-100-03,Red,Deploy,R. Patel
PJ-200-01-01,Operational Excellence Project 1.1,PG-200-01,Yellow,Validate,M. Chen
PJ-200-01-02,Operational Excellence Project 1.2,PG-200-01,Green,Build,M. Chen
PJ-200-01-03,Operational Excellence Project 1.3,PG-200-01,Yellow,Plan,K. Davis
PJ-200-01-04,Operational Excellence Project 1.4,PG-200-01,Green,Deploy,L. Brown
PJ-200-01-05,Operational Excellence Project 1.5,PG-200-01,Green,Validate,L. Brown
PJ-200-02-01,Operational Excellence Project 2.1,PG-200-02,Yellow,Validate,R. Patel
PJ-200-02-02,Operational Excellence Project 2.2,PG-200-02,Green,Deploy,K. Davis
PJ-200-02-03,Operational Excellence Project 2.3,PG-200-02,Red,Plan,L. Brown
PJ-200-02-04,Operational Excellence Project 2.4,PG-200-02,Yellow,Plan,S. Jones
PJ-200-02-05,Operational Excellence Project 2.5,PG-200-02,Red,Validate,L. Brown
PJ-200-03-01,Operational Excellence Project 3.1,PG-200-03,Red,Validate,S. Jones
PJ-200-03-02,Operational Excellence Project 3.2,PG-200-03,Red,Build,R. Patel
PJ-200-03-03,Operational Excellence Project 3.3,PG-200-03,Red,Plan,M. Chen
PJ-200-03-04,Operational Excellence Project 3.4,PG-200-03,Green,Build,M. Chen
PJ-200-03-05,Operational Excellence Project 3.5,PG-200-03,Yellow,Plan,L. Brown
PJ-300-01-01,Customer Experience Project 1.1,PG-300-01,Green,Plan,S. Jones
PJ-300-01-02,Customer Experience Project 1.2,PG-300-01,Yellow,Validate,A. Smith
PJ-300-01-03,Customer Experience Project 1.3,PG-300-01,Yellow,Validate,A. Smith
PJ-300-01-04,Customer Experience Project 1.4,PG-300-01,Green,Validate,A. Smith
PJ-300-01-05,Customer Experience Project 1.5,PG-300-01,Yellow,Build,M. Chen
PJ-300-02-01,Customer Experience Project 2.1,PG-300-02,Red,Validate,K. Davis
PJ-300-02-02,Customer Experience Project 2.2,PG-300-02,Red,Plan,M. Chen
PJ-300-02-03,Customer Experience Project 2.3,PG-300-02,Red,Build,K. Davis
PJ-300-02-04,Customer Experience Project 2.4,PG-300-02,Red,Build,S. Jones
PJ-300-02-05,Customer Experience Project 2.5,PG-300-02,Green,Deploy,L. Brown
PJ-300-03-01,Customer Experience Project 3.1,PG-300-03,Yellow,Validate,A. Smith
PJ-300-03-02,Customer Experience Project 3.2,PG-300-03,Red,Build,S. Jones
PJ-300-03-03,Customer Experience Project 3.3,PG-300-03,Red,Validate,S. Jones
PJ-300-03-04,Customer Experience Project 3.4,PG-300-03,Green,Build,L. Brown
PJ-300-03-05,Customer Experience Project 3.5,PG-300-03,Green,Validate,S. Jones
